nome 1	linha 1	nome 2	linha 2
alex mota dos santos	Modelagem de Sistemas	a. p. rudke	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	m.f. santiago	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	c. l. freire	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	j. c. s. golveia	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	l. c. campos	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	l. c. campos	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	m. f. santiago	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	e. s. nunes	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	t. s. bulhoes	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	j. r. oliveira neto	Membro Externo
fernando schimidt	Tecnologia e Gerenciamento de Resíduos	l. c. cunha	Membro Externo
l. c. campos	Membro Externo	m.f. santiago	Membro Externo
l. c. campos	Membro Externo	c. l. freire	Membro Externo
l. c. campos	Membro Externo	j. c. s. golveia	Membro Externo
l. c. campos	Membro Externo	m. f. santiago	Membro Externo
l. c. campos	Membro Externo	e. s. nunes	Membro Externo
l. c. campos	Membro Externo	t. s. bulhoes	Membro Externo
l. c. campos	Membro Externo	j. r. oliveira neto	Membro Externo
l. c. campos	Membro Externo	l. c. cunha	Membro Externo
m.f. santiago	Membro Externo	c. l. freire	Membro Externo
j. c. s. golveia	Membro Externo	m. f. santiago	Membro Externo
j. c. s. golveia	Membro Externo	e. s. nunes	Membro Externo
j. c. s. golveia	Membro Externo	t. s. bulhoes	Membro Externo
j. c. s. golveia	Membro Externo	j. r. oliveira neto	Membro Externo
j. c. s. golveia	Membro Externo	l. c. cunha	Membro Externo
m. f. santiago	Membro Externo	e. s. nunes	Membro Externo
m. f. santiago	Membro Externo	t. s. bulhoes	Membro Externo
m. f. santiago	Membro Externo	j. r. oliveira neto	Membro Externo
m. f. santiago	Membro Externo	l. c. cunha	Membro Externo
e. s. nunes	Membro Externo	t. s. bulhoes	Membro Externo
e. s. nunes	Membro Externo	j. r. oliveira neto	Membro Externo
e. s. nunes	Membro Externo	l. c. cunha	Membro Externo
t. s. bulhoes	Membro Externo	j. r. oliveira neto	Membro Externo
t. s. bulhoes	Membro Externo	l. c. cunha	Membro Externo
j. r. oliveira neto	Membro Externo	l. c. cunha	Membro Externo
v. dombinov	Membro Externo	h. poorter	Membro Externo
v. dombinov	Membro Externo	n. d. jablonowski	Membro Externo
v. dombinov	Membro Externo	s. d. schrey	Membro Externo
v. dombinov	Membro Externo	h. herzel	Membro Externo
v. dombinov	Membro Externo	m. meiller	Membro Externo
v. dombinov	Membro Externo	f. muller	Membro Externo
v. dombinov	Membro Externo	s. willbold	Membro Externo
v. dombinov	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
v. dombinov	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
v. dombinov	Membro Externo	c. adam	Membro Externo
v. dombinov	Membro Externo	h. klose	Membro Externo
h. poorter	Membro Externo	n. d. jablonowski	Membro Externo
h. poorter	Membro Externo	s. d. schrey	Membro Externo
h. poorter	Membro Externo	h. herzel	Membro Externo
h. poorter	Membro Externo	m. meiller	Membro Externo
h. poorter	Membro Externo	f. muller	Membro Externo
h. poorter	Membro Externo	s. willbold	Membro Externo
h. poorter	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
h. poorter	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
h. poorter	Membro Externo	c. adam	Membro Externo
h. poorter	Membro Externo	h. klose	Membro Externo
n. d. jablonowski	Membro Externo	s. d. schrey	Membro Externo
n. d. jablonowski	Membro Externo	h. herzel	Membro Externo
n. d. jablonowski	Membro Externo	m. meiller	Membro Externo
n. d. jablonowski	Membro Externo	f. muller	Membro Externo
n. d. jablonowski	Membro Externo	s. willbold	Membro Externo
n. d. jablonowski	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
n. d. jablonowski	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
n. d. jablonowski	Membro Externo	c. adam	Membro Externo
n. d. jablonowski	Membro Externo	h. klose	Membro Externo
s. d. schrey	Membro Externo	h. herzel	Membro Externo
s. d. schrey	Membro Externo	m. meiller	Membro Externo
s. d. schrey	Membro Externo	f. muller	Membro Externo
s. d. schrey	Membro Externo	s. willbold	Membro Externo
s. d. schrey	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
s. d. schrey	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
s. d. schrey	Membro Externo	c. adam	Membro Externo
s. d. schrey	Membro Externo	h. klose	Membro Externo
h. herzel	Membro Externo	m. meiller	Membro Externo
h. herzel	Membro Externo	f. muller	Membro Externo
h. herzel	Membro Externo	s. willbold	Membro Externo
h. herzel	Membro Externo	joachim werner zang	Tecnologia e Gerenciamento de Resíduos
h. herzel	Membro Externo	warde antonieta da fonseca zang	Tecnologia e Gerenciamento de Resíduos
h. herzel	Membro Externo	c. adam	Membro Externo
